score,Hypoxaemia,Hypercapnia,Tachycardia,Bradycardia,Hypertension,Hypotension,CardiovascularDecompensation,Fever,Hypothermia,Hyperthermia,Tachypnoea,Bradypnoea,CognitivePerformanceRisk,RadiationDoseMilestone,CabinTempOutOfRange,CabinHumidityOutOfRange
Health,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Sleep,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fatigue,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Stress,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Readiness,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
